                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  0.998,                 0.9529,                 1.0909,                0.81743,                 0.7178,                 0.7587,                0.46399,                0.91484,                0.63033,                   1.06,             0.00047226,             0.00047226,             0.00047226
                      2,                0.97547,                0.66069,                 1.0562,                0.88772,                0.75027,                0.80988,                0.49524,                0.85376,                0.55784,                  1.055,             0.00091103,             0.00091103,             0.00091103
                      3,                0.96945,                0.65137,                 1.0591,                0.88991,                0.75008,                0.80852,                0.51733,                0.81384,                0.61269,                 1.0249,              0.0013121,              0.0013121,              0.0013121
                      4,                0.99118,                0.65286,                 1.0666,                0.89541,                0.73335,                0.80335,                0.52341,                0.82415,                0.53587,                 1.0126,              0.0012592,              0.0012592,              0.0012592
                      5,                0.93095,                0.59443,                 1.0404,                0.83637,                0.79502,                0.83107,                0.54561,                 0.7991,                 0.5016,                 1.0121,              0.0012592,              0.0012592,              0.0012592
                      6,                0.91422,                0.57504,                 1.0309,                0.88762,                0.80996,                0.85449,                0.55956,                0.78955,                0.45851,                0.99481,              0.0012026,              0.0012026,              0.0012026
                      7,                0.87655,                0.54542,                 1.0194,                0.87267,                0.80026,                0.83583,                0.54882,                0.77824,                0.47099,                0.99503,              0.0011461,              0.0011461,              0.0011461
                      8,                0.85777,                 0.5304,                 1.0095,                0.88921,                0.81349,                0.84905,                0.57807,                0.75167,                0.44322,                0.99103,              0.0010895,              0.0010895,              0.0010895
                      9,                0.83883,                0.51623,                 1.0021,                0.86876,                0.80848,                0.84024,                0.55654,                 0.7371,                0.44371,                0.98484,              0.0010329,              0.0010329,              0.0010329
                     10,                0.84076,                0.50739,                0.99833,                0.86323,                0.81329,                 0.8486,                0.57032,                0.79223,                0.45149,                 1.0006,             0.00097629,             0.00097629,             0.00097629
                     11,                 0.8098,                 0.4883,                0.99215,                 0.8852,                0.80695,                 0.8492,                0.57831,                0.74025,                 0.4111,                0.98014,              0.0009197,              0.0009197,              0.0009197
                     12,                0.79956,                0.48331,                 0.9842,                0.84091,                0.82209,                0.85378,                 0.5876,                0.72079,                 0.4173,                 0.9688,             0.00086312,             0.00086312,             0.00086312
                     13,                0.77748,                0.46351,                0.97822,                0.88632,                0.80691,                0.84701,                0.57851,                0.68038,                0.39584,                0.97052,             0.00080653,             0.00080653,             0.00080653
                     14,                0.76174,                 0.4518,                0.96963,                0.88408,                0.84587,                0.86528,                0.59608,                0.69675,                0.38282,                  0.961,             0.00074994,             0.00074994,             0.00074994
                     15,                0.74547,                0.44203,                0.96198,                0.88386,                0.82118,                0.86153,                0.59472,                0.68417,                 0.3855,                 0.9655,             0.00069335,             0.00069335,             0.00069335
                     16,                 0.6737,                0.38521,                 0.9429,                0.87918,                 0.8339,                0.85579,                0.59842,                0.66504,                0.37798,                0.97415,             0.00063676,             0.00063676,             0.00063676
                     17,                 0.6571,                 0.3704,                0.93377,                0.90023,                0.84249,                0.87344,                0.59282,                  0.689,                0.37755,                0.96744,             0.00058017,             0.00058017,             0.00058017
                     18,                0.64743,                0.36444,                0.92544,                0.88212,                0.83318,                0.86238,                0.60576,                0.69182,                0.37145,                0.96794,             0.00052359,             0.00052359,             0.00052359
                     19,                0.63155,                0.35061,                0.92131,                0.89681,                 0.8415,                0.86935,                0.60898,                0.69898,                 0.3605,                0.97346,               0.000467,               0.000467,               0.000467
                     20,                0.61774,                0.34298,                0.91395,                0.87953,                0.83589,                0.86404,                 0.6147,                0.67047,                0.36002,                0.96926,             0.00041041,             0.00041041,             0.00041041
                     21,                0.59726,                0.32976,                0.90889,                0.86375,                0.85505,                0.86455,                0.61221,                0.65673,                0.35017,                0.96609,             0.00035382,             0.00035382,             0.00035382
                     22,                0.58534,                0.32187,                0.90019,                0.90239,                0.84993,                0.87145,                0.62385,                0.64863,                0.33241,                0.96002,             0.00029723,             0.00029723,             0.00029723
                     23,                0.56768,                0.30939,                0.89292,                0.90387,                0.84712,                0.87049,                0.61571,                0.64107,                0.32774,                0.95654,             0.00024064,             0.00024064,             0.00024064
                     24,                0.55821,                0.30328,                0.88965,                0.89799,                0.83973,                0.86318,                0.61335,                 0.6634,                0.33013,                0.96438,             0.00018406,             0.00018406,             0.00018406
                     25,                0.54259,                0.29136,                0.88243,                0.90668,                0.85057,                0.87461,                0.61767,                0.65327,                0.32594,                0.95993,             0.00012747,             0.00012747,             0.00012747
